UserID,IsPayingUser,ConversionDate,Source,SessionCount,ConversionRate
U001,Yes,2024-01-20,Organic,124,100
U002,Yes,2024-02-14,Ads,45,100
U003,Yes,2023-11-10,Referral,89,100
U004,Yes,2024-01-24,Organic,22,100
U005,Yes,2024-03-20,Ads,153,100
U006,Yes,2024-04-05,Organic,68,100
U007,Yes,2024-01-30,Organic,30,100
U008,Yes,2024-02-18,Social,117,100
U009,Yes,2023-12-15,Referral,91,100
U010,Yes,2024-03-08,Ads,25,100
U011,Yes,2024-03-01,Social,240,100
U012,Yes,2024-03-21,Organic,110,100
U013,Yes,2024-01-09,Referral,36,100
U014,Yes,2024-04-07,Ads,64,100
U015,No,,Organic,19,0
U016,Yes,2024-03-15,Social,142,100
U017,Yes,2024-01-04,Organic,95,100
U018,Yes,2024-02-02,Referral,78,100
U019,Yes,2024-04-08,Ads,41,100
U020,Yes,2024-02-16,Organic,90,100
U021,No,,Social,14,0
U022,Yes,2024-01-26,Ads,130,100
U023,Yes,2024-02-06,Organic,52,100
U024,Yes,2024-01-22,Organic,119,100
U025,Yes,2024-03-25,Social,33,100
U026,Yes,2024-04-06,Referral,87,100
U027,Yes,2024-02-21,Ads,160,100
U028,Yes,2024-03-07,Organic,75,100
U029,Yes,2024-01-13,Organic,46,100
U030,Yes,2024-02-09,Social,121,100
